DATE,EURO
2019-01-31,60654
2019-02-28,64397
2019-03-31,33131
2019-04-30,34339
2019-05-31,107863
2019-06-30,51264
2019-07-31,42522
2019-08-31,58560
2019-09-30,53956
2019-10-31,55375
2019-11-30,42591
2019-12-31,64486
2020-01-31,71232
2020-02-29,72820
2020-03-31,37270
2020-04-30,38133
2020-05-31,37666
2020-06-30,25541
2020-07-31,44050
2020-08-31,49364
2020-09-30,24054
2020-10-31,26573
2020-11-30,20993
2020-12-31,52749
2021-01-31,87582
2021-02-28,47151
2021-03-31,23877
2021-04-30,42705
2021-05-31,39849
2021-06-30,39506
2021-07-31,33027
2021-08-31,59663
2021-09-30,39478
2021-10-31,41582
2021-11-30,21586
2021-12-31,6657
