DATE,EURO,forecast
2019-01-31,41964.5,
2019-02-28,46968.17999999999,
2019-03-31,34524.950000000004,
2019-04-30,45741.399999999994,
2019-05-31,86749.00999999998,
2019-06-30,57233.49999999999,
2019-07-31,42820.09,
2019-08-31,30698.27,
2019-09-30,51004.15999999999,
2019-10-31,66695.24,
2019-11-30,92337.35,
2019-12-31,72395.49,
2020-01-31,45038.450000000026,
2020-02-29,62646.109999999986,
2020-03-31,47700.86999999999,
2020-04-30,39743.19000000002,
2020-05-31,37541.420000000006,
2020-06-30,36741.54000000001,
2020-07-31,47687.24000000001,
2020-08-31,36949.490000000005,
2020-09-30,34718.55999999998,1685.578605440569
2020-10-31,33503.26,-78.88695150083547
2020-11-30,35044.50000000001,171.71727869469433
2020-12-31,43105.480000000025,136.1243593855986
2021-01-31,54193.40999999999,141.17956497392947
2021-02-28,26710.039999999994,140.4615821830725
2021-03-31,27069.919999999984,140.56355613427178
2021-04-30,49140.719999999994,140.54907293654668
2021-05-31,33768.21000000001,140.55112996203093
2021-06-30,38141.240000000005,140.55083780598062
2021-07-31,44781.87999999999,140.5508793004387
2021-08-31,64059.78999999999,140.550873407047
2021-09-30,49130.73,140.550874244076
2021-10-31,48906.070000000014,140.55087412519413
2021-11-30,46743.23,140.55087414207873
